State,Region,Disease,SNPs_Pest,Incidence,Prevalence
Iowa,Midwest,Migraine Disorders,13.158273381295,1140.97173260894,16768.3754785885
Iowa,Midwest,Multiple Sclerosis,30.9226519337017,3.15516534856936,118.540884196405
Iowa,Midwest,Parkinson Disease,38.0476190476191,46.5931187579085,183.686630188201
Kansas,Midwest,Alzheimer's Disease,53.855614973262,199.60968859069,1469.48113219243
Kansas,Midwest,Brain Neoplasms,48.1656441717792,9.11342971117137,26.3783184659831
Kansas,Midwest,Epilepsy,12.4971428571429,39.2077192155195,342.950365807196
Kansas,Midwest,Migraine Disorders,13.0719424460432,1180.83432649245,16944.82494575
Kansas,Midwest,Multiple Sclerosis,30.4581005586592,3.28441410018523,119.682952556173
Kansas,Midwest,Parkinson Disease,39.2741935483871,51.2259825295311,208.101747504703
Kentucky,Southeast,Alzheimer's Disease,55.0536585365854,202.404492728947,1516.51883977495
Kentucky,Southeast,Brain Neoplasms,50.5511363636364,9.83311721623363,25.1464510013759
Kentucky,Southeast,Epilepsy,12.1822916666667,42.3829301931061,393.561658890618
Kentucky,Southeast,Migraine Disorders,13.3866666666667,1149.61470188107,17156.8321119236
Kentucky,Southeast,Multiple Sclerosis,31.2938144329897,2.95604387978677,119.968948431635
Kentucky,Southeast,Parkinson Disease,39.8529411764706,50.3432212129509,188.373725234362
Louisiana,Southeast,Alzheimer's Disease,50.8838383838384,194.612803801738,1488.53285357638
Louisiana,Southeast,Brain Neoplasms,47.1686046511628,7.80451027374807,17.4770005488858
Louisiana,Southeast,Epilepsy,11.9351351351351,42.9666750839048,390.906260307068
Louisiana,Southeast,Migraine Disorders,12.7687074829932,1174.95245953268,17211.2129132608
Louisiana,Southeast,Multiple Sclerosis,30.0534759358289,2.2766345884621,86.1513344730687
Louisiana,Southeast,Parkinson Disease,37.5634517766498,46.7014451667871,175.107109521553
Maine,Northeast,Alzheimer's Disease,63.5869565217391,254.150005046145,1883.53602751439
Maine,Northeast,Brain Neoplasms,54.8760330578512,10.6096767432606,27.8411964716589
Maine,Northeast,Epilepsy,13.2307692307692,37.2507854287971,343.064644178192
Maine,Northeast,Migraine Disorders,14.5769230769231,1060.60003902106,17004.4641409534
Maine,Northeast,Multiple Sclerosis,34.9097744360902,3.6221216306249,164.882861289634
Maine,Northeast,Parkinson Disease,44.4202898550725,68.4895294407783,276.904965714614
Maryland,Northeast,Alzheimer's Disease,54.4455445544555,202.47957256285,1540.06864073941
Maryland,Northeast,Brain Neoplasms,49.0171428571429,7.94741612852429,22.5014905226228
Maryland,Northeast,Epilepsy,11.9267015706806,39.46347745119,353.878574462453
Maryland,Northeast,Migraine Disorders,13.3243243243243,1167.1181522855,17752.900743255
Maryland,Northeast,Multiple Sclerosis,30.8497409326425,3.47711656822518,135.474778196827
Maryland,Northeast,Parkinson Disease,39.3482587064677,44.883789927729,175.803669970612
Massachusetts,Northeast,Alzheimer's Disease,59.5766871165644,237.057759217269,1775.8541035194
Massachusetts,Northeast,Brain Neoplasms,54.0769230769231,9.9145269880391,30.377619298294
Massachusetts,Northeast,Epilepsy,12.9013157894737,40.7778003653311,384.097639558942
Massachusetts,Northeast,Migraine Disorders,14.0793650793651,1144.15954618357,17688.9244955588
Massachusetts,Northeast,Multiple Sclerosis,33.9545454545455,3.99874986511203,158.197105214185
Massachusetts,Northeast,Parkinson Disease,43.8136645962733,50.7856764272573,209.854766051344
Michigan,Midwest,Alzheimer's Disease,52.5401785714286,233.085800008891,1787.50578490159
Michigan,Midwest,Brain Neoplasms,47.9690721649485,9.09046549007823,21.3049542221727
Michigan,Midwest,Epilepsy,11.7962085308057,44.7461980314354,430.492313980339
Michigan,Midwest,Migraine Disorders,13.1036585365854,1100.07282635307,15962.6906937225
Michigan,Midwest,Multiple Sclerosis,30.938679245283,4.0497415166024,164.604201573863
Michigan,Midwest,Parkinson Disease,38.4618834080718,52.9991930086051,206.560214960874
Minnesota,Midwest,Alzheimer's Disease,53.8684210526316,191.305688318083,1420.59326101927
Minnesota,Midwest,Brain Neoplasms,48.1878787878788,9.4191461708931,31.3578432837352
Minnesota,Midwest,Epilepsy,12.3666666666667,37.494488767748,322.840090241148
Minnesota,Midwest,Migraine Disorders,13.3529411764706,1152.90559612363,17080.3447603516
Minnesota,Midwest,Multiple Sclerosis,31.1593406593407,3.78138016519678,143.405887965433
Minnesota,Midwest,Parkinson Disease,38.2473684210526,45.8207609871214,183.284231418775
Mississippi,Southeast,Alzheimer's Disease,54.152380952381,169.385610622705,1236.36904915091
Mississippi,Southeast,Brain Neoplasms,50.7119565217391,8.78392132795706,19.0960144158632
Mississippi,Southeast,Epilepsy,12.2690355329949,36.3970932569357,310.849497891316
Mississippi,Southeast,Migraine Disorders,12.9430379746835,1183.15764229126,17248.0979138891
Mississippi,Southeast,Multiple Sclerosis,30.6331658291457,2.08189449280306,76.5552283992881
Mississippi,Southeast,Parkinson Disease,39.1435406698565,38.2607176036952,125.269319531662
Missouri,Midwest,Alzheimer's Disease,52.9151785714286,222.562573344265,1670.79941311553
Missouri,Midwest,Brain Neoplasms,49.6598984771574,8.75862991699552,23.502072539434
Missouri,Midwest,Epilepsy,12.0331753554502,39.8465140826062,363.301599043507
Missouri,Midwest,Migraine Disorders,12.8654970760234,1151.93968726538,17135.5374427897
Missouri,Midwest,Multiple Sclerosis,30.7511737089202,3.30878578302412,130.585092387579
Missouri,Midwest,Parkinson Disease,38.8340807174888,54.1386108914922,217.789504291363
Montana,West,Alzheimer's Disease,55.9885057471264,226.020560147788,1630.52616702313
Montana,West,Brain Neoplasms,48.4105960264901,9.54355213167812,25.7592474959409
Montana,West,Epilepsy,12.369696969697,40.5323851743432,371.897401387271
Montana,West,Migraine Disorders,13.536,1097.02149074877,16661.1997591066
Montana,West,Multiple Sclerosis,31.3313253012048,4.54811617284947,184.338465418355
Montana,West,Parkinson Disease,40.448275862069,54.1639651610159,201.108197772322
Nebraska,Midwest,Alzheimer's Disease,56.5232558139535,196.090972557107,1436.4984976957
Nebraska,Midwest,Brain Neoplasms,47.4133333333333,9.32393399866066,28.1530815008694
Nebraska,Midwest,Epilepsy,12.2208588957055,35.5221218446176,292.473502123433
Nebraska,Midwest,Migraine Disorders,13.4761904761905,1168.62558499515,16829.9015184492
Nebraska,Midwest,Multiple Sclerosis,31.1084337349398,3.85416758491753,141.164685288367
Nebraska,Midwest,Parkinson Disease,40.1162790697674,39.6195704473452,150.544389361403
Nevada,West,Alzheimer's Disease,54.6307692307692,138.112964584795,977.427242714465
Nevada,West,Brain Neoplasms,51.140350877193,7.35310040341174,20.0833988637153
Nevada,West,Epilepsy,12.1988950276243,39.7481361746944,363.457094919837
Nevada,West,Migraine Disorders,13.0684931506849,1187.73470493987,17543.0725276925
Nevada,West,Multiple Sclerosis,31.4808743169399,3.71626374048273,139.702696479683
Nevada,West,Parkinson Disease,39.1968911917098,42.4360341702031,150.98461046691
New Hampshire,Northeast,Alzheimer's Disease,62.1388888888889,230.593101614132,1709.58248353359
New Hampshire,Northeast,Brain Neoplasms,53.8582677165354,10.0895298058054,29.4810257058838
New Hampshire,Northeast,Epilepsy,13.1911764705882,35.9753590135229,324.595405648681
New Hampshire,Northeast,Migraine Disorders,14.4336283185841,1097.52995141108,17334.9696085837
New Hampshire,Northeast,Multiple Sclerosis,35.6642335766423,3.87485410247806,173.412467837696
New Hampshire,Northeast,Parkinson Disease,44.6993006993007,56.2778037994777,220.098634012693
New Jersey,Northeast,Alzheimer's Disease,55.5392670157068,211.942200507771,1551.39029609126
New Jersey,Northeast,Brain Neoplasms,49.3035714285714,10.5417266913429,45.2646187971105
New Jersey,Northeast,Epilepsy,12.2707182320442,43.1546228309835,400.420909399208
New Jersey,Northeast,Migraine Disorders,13.3636363636364,1141.61630270974,17403.6903922091
New Jersey,Northeast,Multiple Sclerosis,31.3956043956044,3.28189398245924,135.141932580486
New Jersey,Northeast,Parkinson Disease,40.6230366492147,46.8159487019193,192.849516398335
New Mexico,Southwest,Alzheimer's Disease,52.9508928571429,205.662049525738,1481.98151579545
New Mexico,Southwest,Brain Neoplasms,48.4081632653061,7.68747160396426,22.5028894389215
New Mexico,Southwest,Epilepsy,11.8952380952381,42.7228565939195,363.440430860146
New Mexico,Southwest,Migraine Disorders,12.9171597633136,1158.08543271433,17005.581679644
New Mexico,Southwest,Multiple Sclerosis,30.981220657277,3.01079884881167,116.875394709982
New Mexico,Southwest,Parkinson Disease,38.3318385650224,47.0147227836178,168.351363536669
New York,Northeast,Alzheimer's Disease,54.9138755980861,225.444833621701,1670.76188227628
New York,Northeast,Brain Neoplasms,48.7868852459016,7.62609517501325,23.2328864325017
New York,Northeast,Epilepsy,11.9949494949495,43.5086086525538,408.835774152943
New York,Northeast,Migraine Disorders,13.3417721518987,1149.86863165371,17601.1249224125
New York,Northeast,Multiple Sclerosis,31.4572864321608,3.75119215931432,152.421905467364
New York,Northeast,Parkinson Disease,39.7548076923077,50.5351447894684,213.888286523291
North Carolina,Southeast,Alzheimer's Disease,53.7333333333333,181.133259107328,1318.74113841672
North Carolina,Southeast,Brain Neoplasms,50.5154639175258,8.30914076835556,21.758032721612
North Carolina,Southeast,Epilepsy,12.0518867924528,36.3416834303401,314.960768662457
North Carolina,Southeast,Migraine Disorders,13.078313253012,1174.98022018846,17476.7083803161
North Carolina,Southeast,Multiple Sclerosis,30.9069767441861,3.02481156645244,120.444627612992
North Carolina,Southeast,Parkinson Disease,38.7633928571429,45.3186915842446,167.277627621189
North Dakota,Midwest,Alzheimer's Disease,53.75,243.98553993377,1831.89797416004
North Dakota,Midwest,Brain Neoplasms,46.0652173913044,9.69006094560804,28.8700675727676
North Dakota,Midwest,Epilepsy,11.9802631578947,38.3140257002469,330.865396055788
North Dakota,Midwest,Migraine Disorders,13.3963963963964,1132.63440152179,16678.2597780845
North Dakota,Midwest,Multiple Sclerosis,30.4144736842105,4.14230958394942,148.997646106916
North Dakota,Midwest,Parkinson Disease,38.3913043478261,46.3377523014818,185.345475043528
Ohio,Midwest,Alzheimer's Disease,53.6272727272727,232.944539848321,1765.74700710752
Ohio,Midwest,Brain Neoplasms,48.9736842105263,9.09452039295945,22.8372600481125
Ohio,Midwest,Epilepsy,11.8509615384615,42.3518743968742,398.856195918577
Ohio,Midwest,Migraine Disorders,13.1987577639752,1137.96396529759,17111.5747379893
Ohio,Midwest,Multiple Sclerosis,30.9856459330144,3.61073632441671,144.657987137699
Ohio,Midwest,Parkinson Disease,39.0045871559633,52.5493762590309,203.814039972354
Oklahoma,Southwest,Alzheimer's Disease,53.6919431279621,198.019126217243,1465.00391026505
Oklahoma,Southwest,Brain Neoplasms,48.0918918918919,8.41896119578026,20.6624320339167
Oklahoma,Southwest,Epilepsy,11.84,40.0577826435665,359.530501808576
Oklahoma,Southwest,Migraine Disorders,13.0126582278481,1176.96200881504,17035.632687883
Oklahoma,Southwest,Multiple Sclerosis,30.2068965517241,2.6316694725895,94.7401526740191
Oklahoma,Southwest,Parkinson Disease,38.9425837320574,45.1695065135932,160.98991485369
Oregon,West,Alzheimer's Disease,54.3427230046948,205.851029637481,1503.89968167694
Oregon,West,Brain Neoplasms,49.9144385026738,9.88024179003331,29.371961217356
Oregon,West,Epilepsy,12.134328358209,36.1066296428649,316.013527009973
Oregon,West,Migraine Disorders,13.1082802547771,1133.35431162333,17273.1252617715
Oregon,West,Multiple Sclerosis,31.1732673267327,3.98668055570305,156.093882689611
Oregon,West,Parkinson Disease,39.5518867924528,50.1947393596782,186.984991126826
Pennsylvania,Northeast,Alzheimer's Disease,52.8761467889908,244.557059730533,1811.55327706982
Pennsylvania,Northeast,Brain Neoplasms,48.5873015873016,9.18607152263854,24.6896807701945
Pennsylvania,Northeast,Epilepsy,11.6796116504854,40.7125319827659,388.793604381985
Pennsylvania,Northeast,Migraine Disorders,13.0125786163522,1117.389425494,17174.9795189646
Pennsylvania,Northeast,Multiple Sclerosis,29.9806763285024,3.82373111962932,160.069154132544
Pennsylvania,Northeast,Parkinson Disease,38.4331797235023,54.8118599605218,220.332992807956
Rhode Island,Northeast,Alzheimer's Disease,64.2923076923077,255.475970846781,1935.31252831537
Rhode Island,Northeast,Brain Neoplasms,55.3304347826087,9.34390471869128,27.1289909029092
Rhode Island,Northeast,Epilepsy,14.0573770491803,42.5170264833088,415.538918364719
Rhode Island,Northeast,Migraine Disorders,14.873786407767,1137.3882046368,17631.3482992026
Rhode Island,Northeast,Multiple Sclerosis,36.2258064516129,4.72786610036684,194.324215924951
Rhode Island,Northeast,Parkinson Disease,46.6124031007752,48.4082674370117,191.861127302062
South Carolina,Southeast,Alzheimer's Disease,54.8119266055046,189.565708062693,1382.19257849726
South Carolina,Southeast,Brain Neoplasms,51.1368421052632,8.73615041003546,20.6866172904784
South Carolina,Southeast,Epilepsy,12.219512195122,38.2008665938663,344.068926592577
South Carolina,Southeast,Migraine Disorders,13.1878787878788,1150.78814758099,17284.7658018775
South Carolina,Southeast,Multiple Sclerosis,31.4736842105263,2.75116321058522,110.759654020835
South Carolina,Southeast,Parkinson Disease,39.3732718894009,46.8225636489553,167.30486066352
South Dakota,Midwest,Alzheimer's Disease,55.1645569620253,195.473008341809,1372.57852137616
South Dakota,Midwest,Brain Neoplasms,47.5182481751825,10.0122967630153,28.9296126737972
South Dakota,Midwest,Epilepsy,12.317880794702,41.8410924450787,380.214653817099
South Dakota,Midwest,Migraine Disorders,13.3628318584071,1142.23850695376,16478.6541377528
South Dakota,Midwest,Multiple Sclerosis,30.0457516339869,3.9021813727345,147.803429144902
South Dakota,Midwest,Parkinson Disease,38.89375,41.7436666163086,167.813601381659
Tennessee,Southeast,Alzheimer's Disease,53.6902654867257,195.099507502469,1453.85438183995
Tennessee,Southeast,Brain Neoplasms,51.3959390862944,8.94602965008836,21.82396653317
Tennessee,Southeast,Epilepsy,12.0934579439252,38.7152442997388,350.189383667798
Tennessee,Southeast,Migraine Disorders,13.1,1162.83205061202,17374.2131248891
Tennessee,Southeast,Multiple Sclerosis,31.0092592592593,2.89071157709392,115.19718362145
Tennessee,Southeast,Parkinson Disease,38.8053097345133,44.5346294747352,160.546537812451
Texas,Southwest,Alzheimer's Disease,52.4786324786325,164.678279180272,1237.189887684
Texas,Southwest,Brain Neoplasms,48.2135922330097,7.32401431298066,21.4114186911242
Texas,Southwest,Epilepsy,11.7149321266968,37.073241893278,343.893513002163
Texas,Southwest,Migraine Disorders,12.7247191011236,1238.70225650034,17448.9655046486
Texas,Southwest,Multiple Sclerosis,30.6053811659193,2.4198645723701,86.4050293947688
Texas,Southwest,Parkinson Disease,38.0214592274678,39.9441937092265,155.616632513869
Utah,West,Alzheimer's Disease,55.6666666666667,100.01967729575,709.387167355901
Utah,West,Brain Neoplasms,49.2360248447205,6.91502624739812,21.3396873204992
Utah,West,Epilepsy,12.1395348837209,35.9829750443652,288.433247842865
Utah,West,Migraine Disorders,13.4029850746269,1311.67151783465,17131.3216079828
Utah,West,Multiple Sclerosis,31.5229885057471,5.35515895682654,168.19507999845
Utah,West,Parkinson Disease,38.8674033149171,31.6411409125155,115.854495857215
Vermont,Northeast,Alzheimer's Disease,62.1812080536913,229.170088152368,1649.0958061531
Vermont,Northeast,Brain Neoplasms,54.5769230769231,9.60533245968774,27.1793228967089
Vermont,Northeast,Epilepsy,13.3884892086331,36.0463669055615,323.011999477197
Vermont,Northeast,Migraine Disorders,14.504347826087,1082.05480781595,17134.7571221261
Vermont,Northeast,Multiple Sclerosis,35.6714285714286,3.78979775344571,165.813112458995
Vermont,Northeast,Parkinson Disease,45.1224489795918,63.6610654260619,253.565179057316
Virginia,Southeast,Alzheimer's Disease,53.1946902654867,186.533443133339,1380.27367930327
Virginia,Southeast,Brain Neoplasms,49.0510204081633,8.09873086849552,23.7011593177197
Virginia,Southeast,Epilepsy,11.9158878504673,39.53484077308,355.030911549836
Virginia,Southeast,Migraine Disorders,13.0538922155689,1169.59539588561,17567.400424516
Virginia,Southeast,Multiple Sclerosis,30.4861111111111,3.36797909348352,131.870839619281
Virginia,Southeast,Parkinson Disease,38.3097345132743,43.0015602496667,166.185561493888
Washington,West,Alzheimer's Disease,53.493023255814,177.546327658036,1270.29075890444
Washington,West,Brain Neoplasms,49.1368421052632,8.09282583148802,18.4676159550603
Washington,West,Epilepsy,11.8817733990148,38.392619954776,335.917487079549
Washington,West,Migraine Disorders,12.9748427672956,1154.7297999599,17283.0573937232
Washington,West,Multiple Sclerosis,30.5365853658537,4.22376187673366,160.942139550298
Washington,West,Parkinson Disease,38.9488372093023,48.5559287507574,189.552394196512
West Virginia,Southeast,Alzheimer's Disease,56.1917098445596,246.397293208741,1868.78708907877
West Virginia,Southeast,Brain Neoplasms,51.2335329341317,9.56964721346079,21.1517311637184
West Virginia,Southeast,Epilepsy,12.2142857142857,41.3973198556138,407.036724015112
West Virginia,Southeast,Migraine Disorders,13.4275862068966,1086.78437138554,16940.3126224638
West Virginia,Southeast,Multiple Sclerosis,32.1675675675676,2.89731997929232,124.843511589192
West Virginia,Southeast,Parkinson Disease,40.5104166666667,59.9114741584512,223.992918967123
Wisconsin,Midwest,Alzheimer's Disease,55.6868686868687,207.485906784764,1504.62890393489
Wisconsin,Midwest,Brain Neoplasms,48.32,9.94590840657885,30.4884052495691
Wisconsin,Midwest,Epilepsy,12.4838709677419,43.9326962901769,351.657254468725
Wisconsin,Midwest,Migraine Disorders,13.4459459459459,1139.81088599754,17061.7003150265
Wisconsin,Midwest,Multiple Sclerosis,32,3.98368275437535,157.514114203157
Wisconsin,Midwest,Parkinson Disease,40.0151515151515,45.7286623275231,177.236206023257
Wyoming,West,Alzheimer's Disease,57.1025641025641,173.551599018126,1229.19619872237
Wyoming,West,Brain Neoplasms,49.9347826086957,8.39136403059217,23.4168901435979
Wyoming,West,Epilepsy,12.3605442176871,40.1073021983102,351.858148809389
Wyoming,West,Migraine Disorders,13.3534482758621,1147.05425668036,16758.9145653839
Wyoming,West,Multiple Sclerosis,32.0201342281879,4.59476158326081,176.010704967762
Wyoming,West,Parkinson Disease,39.8141025641026,43.1262841847604,154.988867761039
