Type,Disease,Year,variable,value
55+ years,Alzheimer's Disease,1992,Incidence corr coefficient,0.0333801323721333
55+ years,Multiple Sclerosis,1992,Incidence corr coefficient,0.404757731307698
55+ years,Parkinson Disease,1992,Incidence corr coefficient,0.383205249926877
55+ years,Alzheimer's Disease,1993,Incidence corr coefficient,0.0185756925176667
55+ years,Multiple Sclerosis,1993,Incidence corr coefficient,0.409026306198839
55+ years,Parkinson Disease,1993,Incidence corr coefficient,0.40887690276534
55+ years,Alzheimer's Disease,1994,Incidence corr coefficient,0.0827375618123111
55+ years,Multiple Sclerosis,1994,Incidence corr coefficient,0.467247481505612
55+ years,Parkinson Disease,1994,Incidence corr coefficient,0.448156105538974
55+ years,Alzheimer's Disease,1996,Incidence corr coefficient,-0.0404715068859618
55+ years,Multiple Sclerosis,1996,Incidence corr coefficient,0.398780239108654
55+ years,Parkinson Disease,1996,Incidence corr coefficient,0.403213533003653
55+ years,Alzheimer's Disease,1995,Incidence corr coefficient,0.0109148235130167
55+ years,Multiple Sclerosis,1995,Incidence corr coefficient,0.407114325477104
55+ years,Parkinson Disease,1995,Incidence corr coefficient,0.406530628080552
55+ years,Alzheimer's Disease,1998,Incidence corr coefficient,-0.0808484003884666
55+ years,Multiple Sclerosis,1998,Incidence corr coefficient,0.388162444610693
55+ years,Parkinson Disease,1998,Incidence corr coefficient,0.417657517018315
55+ years,Alzheimer's Disease,1997,Incidence corr coefficient,-0.0697771698368644
55+ years,Multiple Sclerosis,1997,Incidence corr coefficient,0.367599579427238
55+ years,Parkinson Disease,1997,Incidence corr coefficient,0.402975686584789
55+ years,Alzheimer's Disease,1999,Incidence corr coefficient,-0.0397449478712748
55+ years,Multiple Sclerosis,1999,Incidence corr coefficient,0.3951086603824
55+ years,Parkinson Disease,1999,Incidence corr coefficient,0.435780452631825
55+ years,Alzheimer's Disease,2000,Incidence corr coefficient,-0.0237585353681332
55+ years,Multiple Sclerosis,2000,Incidence corr coefficient,0.387398469994685
55+ years,Parkinson Disease,2000,Incidence corr coefficient,0.431871530842182
55+ years,Alzheimer's Disease,2001,Incidence corr coefficient,-0.00861744524265771
55+ years,Multiple Sclerosis,2001,Incidence corr coefficient,0.388803592497271
55+ years,Parkinson Disease,2001,Incidence corr coefficient,0.421849281718717
55+ years,Alzheimer's Disease,2002,Incidence corr coefficient,0.00349836544017623
55+ years,Multiple Sclerosis,2002,Incidence corr coefficient,0.390209196890217
55+ years,Parkinson Disease,2002,Incidence corr coefficient,0.39240791583493
55+ years,Alzheimer's Disease,2003,Incidence corr coefficient,0.0301116276289242
55+ years,Multiple Sclerosis,2003,Incidence corr coefficient,0.369990403168601
55+ years,Parkinson Disease,2003,Incidence corr coefficient,0.373090135850946
55+ years,Alzheimer's Disease,2004,Incidence corr coefficient,0.0434726304843962
55+ years,Multiple Sclerosis,2004,Incidence corr coefficient,0.358958915585033
55+ years,Parkinson Disease,2004,Incidence corr coefficient,0.352375107562885
55+ years,Alzheimer's Disease,2005,Incidence corr coefficient,0.0634879862681413
55+ years,Multiple Sclerosis,2005,Incidence corr coefficient,0.355128335275281
55+ years,Parkinson Disease,2005,Incidence corr coefficient,0.367094409241679
55+ years,Alzheimer's Disease,2006,Incidence corr coefficient,0.0748567596179977
55+ years,Multiple Sclerosis,2006,Incidence corr coefficient,0.350119523054963
55+ years,Parkinson Disease,2006,Incidence corr coefficient,0.365629223039716
55+ years,Alzheimer's Disease,2007,Incidence corr coefficient,0.0834677788085074
55+ years,Multiple Sclerosis,2007,Incidence corr coefficient,0.323305331924517
55+ years,Parkinson Disease,2007,Incidence corr coefficient,0.359442507099364
55+ years,Alzheimer's Disease,2008,Incidence corr coefficient,0.110337843325133
55+ years,Multiple Sclerosis,2008,Incidence corr coefficient,0.315384695837928
55+ years,Parkinson Disease,2008,Incidence corr coefficient,0.355996628059603
55+ years,Alzheimer's Disease,2009,Incidence corr coefficient,0.121483302093494
55+ years,Multiple Sclerosis,2009,Incidence corr coefficient,0.308850089166655
55+ years,Parkinson Disease,2009,Incidence corr coefficient,0.351769224892317
55+ years,Alzheimer's Disease,2010,Incidence corr coefficient,0.128180613169436
55+ years,Multiple Sclerosis,2010,Incidence corr coefficient,0.314164321372361
55+ years,Parkinson Disease,2010,Incidence corr coefficient,0.3576812990991
55+ years,Alzheimer's Disease,2011,Incidence corr coefficient,0.123916430374924
55+ years,Multiple Sclerosis,2011,Incidence corr coefficient,0.324105009121202
55+ years,Parkinson Disease,2011,Incidence corr coefficient,0.351314678242862
55+ years,Alzheimer's Disease,2012,Incidence corr coefficient,0.122673106696784
55+ years,Multiple Sclerosis,2012,Incidence corr coefficient,0.333414676878923
55+ years,Parkinson Disease,2012,Incidence corr coefficient,0.34379912134328
55+ years,Alzheimer's Disease,2013,Incidence corr coefficient,0.126132052418451
55+ years,Multiple Sclerosis,2013,Incidence corr coefficient,0.346451056299004
55+ years,Parkinson Disease,2013,Incidence corr coefficient,0.343843936017736
55+ years,Alzheimer's Disease,2014,Incidence corr coefficient,0.131027968358351
55+ years,Multiple Sclerosis,2014,Incidence corr coefficient,0.352520824593823
55+ years,Parkinson Disease,2014,Incidence corr coefficient,0.337641006846787
55+ years,Alzheimer's Disease,2015,Incidence corr coefficient,0.131622746333986
55+ years,Multiple Sclerosis,2015,Incidence corr coefficient,0.357945552631255
55+ years,Parkinson Disease,2015,Incidence corr coefficient,0.326223671300415
55+ years,Alzheimer's Disease,2016,Incidence corr coefficient,0.133457791452453
55+ years,Multiple Sclerosis,2016,Incidence corr coefficient,0.375712673370815
55+ years,Parkinson Disease,2016,Incidence corr coefficient,0.298091028830544
55+ years,Alzheimer's Disease,2017,Incidence corr coefficient,0.137002479139739
55+ years,Multiple Sclerosis,2017,Incidence corr coefficient,0.392014543629863
55+ years,Parkinson Disease,2017,Incidence corr coefficient,0.286828146852629
55+ years,Alzheimer's Disease,2018,Incidence corr coefficient,0.140206473180733
55+ years,Multiple Sclerosis,2018,Incidence corr coefficient,0.399708067899115
55+ years,Parkinson Disease,2018,Incidence corr coefficient,0.29813599164099
55+ years,Alzheimer's Disease,1992,Prevalence corr coefficient,0.0353199321823521
55+ years,Multiple Sclerosis,1992,Prevalence corr coefficient,0.437320960109366
55+ years,Parkinson Disease,1992,Prevalence corr coefficient,0.352246276058179
55+ years,Alzheimer's Disease,1993,Prevalence corr coefficient,0.0105074010659764
55+ years,Multiple Sclerosis,1993,Prevalence corr coefficient,0.475819516878704
55+ years,Parkinson Disease,1993,Prevalence corr coefficient,0.367271966821478
55+ years,Alzheimer's Disease,1994,Prevalence corr coefficient,0.06895970864681
55+ years,Multiple Sclerosis,1994,Prevalence corr coefficient,0.53680723912706
55+ years,Parkinson Disease,1994,Prevalence corr coefficient,0.403243995909138
55+ years,Alzheimer's Disease,1996,Prevalence corr coefficient,-0.0534453896925401
55+ years,Multiple Sclerosis,1996,Prevalence corr coefficient,0.504308835129296
55+ years,Parkinson Disease,1996,Prevalence corr coefficient,0.348249674748979
55+ years,Alzheimer's Disease,1995,Prevalence corr coefficient,-0.0024788541005765
55+ years,Multiple Sclerosis,1995,Prevalence corr coefficient,0.490795099825672
55+ years,Parkinson Disease,1995,Prevalence corr coefficient,0.356034097892443
55+ years,Alzheimer's Disease,1998,Prevalence corr coefficient,-0.10619818115168
55+ years,Multiple Sclerosis,1998,Prevalence corr coefficient,0.534511016484541
55+ years,Parkinson Disease,1998,Prevalence corr coefficient,0.35220652574825
55+ years,Alzheimer's Disease,1997,Prevalence corr coefficient,-0.0889295603268307
55+ years,Multiple Sclerosis,1997,Prevalence corr coefficient,0.498862869224971
55+ years,Parkinson Disease,1997,Prevalence corr coefficient,0.344300609891394
55+ years,Alzheimer's Disease,1999,Prevalence corr coefficient,-0.0715826488220429
55+ years,Multiple Sclerosis,1999,Prevalence corr coefficient,0.551379326643561
55+ years,Parkinson Disease,1999,Prevalence corr coefficient,0.372352566798994
55+ years,Alzheimer's Disease,2000,Prevalence corr coefficient,-0.0556477432622118
55+ years,Multiple Sclerosis,2000,Prevalence corr coefficient,0.555626989857605
55+ years,Parkinson Disease,2000,Prevalence corr coefficient,0.37376548209922
55+ years,Alzheimer's Disease,2001,Prevalence corr coefficient,-0.0379011748178853
55+ years,Multiple Sclerosis,2001,Prevalence corr coefficient,0.560548704238049
55+ years,Parkinson Disease,2001,Prevalence corr coefficient,0.368659017678034
55+ years,Alzheimer's Disease,2002,Prevalence corr coefficient,-0.0241824598069105
55+ years,Multiple Sclerosis,2002,Prevalence corr coefficient,0.561059885173358
